name,player_id,team_id,season_id,player_id,season_id,Pos,Class,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,SI,POT,Stars,Primary_Position,adj_OEPM,adj_DEPM,adj_EPM,adj_OEPM_scaled,adj_DEPM_scaled,adj_EPM_scaled
T.J. Joseph,212047,610,2045,212047,2045,PF C ,SO,80.5,215,83.0,40.5,9,4,12,9,12,9,6,12,9,6,6,5,4,10,113,11,2,PF,0.100943729583689,0.333522692512263,0.434466422095953,0.26061769821601,0.51876970057609,0.7793873987921
Cecil Manning,202252,315,2046,202252,2046,C pf ,RS SR,81.0,245,85.25,29.5,13,17,6,13,13,14,13,10,9,15,4,11,5,13,156,11,3,C,0.409930242292099,-0.0592258645644705,0.350704377727629,0.77569821490093,0.00348359369141464,0.779181808592344
Cody Titus,204773,192,2045,204773,2045,SG pg ,RS JR,74.0,195,80.25,32.0,8,13,13,10,10,5,16,9,16,14,16,12,8,7,157,11,2,SG,1.42592130431634,-1.35054136299181,0.0753799413245255,2.46935531529533,-1.69072234024526,0.778632975050077
Lloyd Tucker,206175,844,2045,206175,2045,PG SG ,JR,74.5,190,76.0,29.5,6,13,7,14,7,3,10,9,10,13,10,11,13,7,133,10,2,PG,-0.526377547082403,1.12914002015624,0.602762473073841,-0.785126869986365,1.56261963444499,0.777492764458626
Rodney Tucker,213424,919,2044,213424,2044,SG PG sf ,FR,70.0,170,72.25,27.0,5,12,11,9,6,6,7,15,5,11,8,9,17,10,131,12,3,SG,0.607800374827321,-0.312456227828095,0.295344146999226,1.10554772583714,-0.328754642910461,0.776793082926684
Jermaine Henderson,217521,575,2046,217521,2046,C pg ,SO,82.0,215,86.0,31.5,12,13,13,7,14,9,6,13,11,10,8,9,14,9,148,12,4,C,0.660259246116624,-0.379234106954257,0.281025139162367,1.19299666427641,-0.416367220323985,0.776629443952427
Tommy Winslow,204547,845,2044,204547,2044,SG sf ,JR,75.5,195,79.0,33.5,8,10,11,10,2,7,6,10,5,8,13,6,14,7,117,10,1,SG,0.585831552605546,-0.285392278590289,0.300439274015257,1.06892569919345,-0.293246741510459,0.775678957682986
Jamal Harvey,205033,677,2044,205033,2044,PG ,JR,70.5,170,74.0,31.0,5,8,11,11,7,4,16,7,16,12,8,6,14,15,140,11,2,PG,-0.563360645462944,1.17443368350484,0.611073038041893,-0.846777694986728,1.62204492075835,0.775267225771619
Sean Gilbert,217951,693,2046,217951,2046,SF sg ,SO,77.0,220,80.0,29.0,5,6,10,9,7,4,6,14,8,11,6,7,15,6,114,11,2,SF,-0.513077585654014,1.11014137209358,0.597063786439566,-0.762955834285242,1.53769340818678,0.774737573901536
Kip Herron,202407,411,2045,202407,2045,PF c ,SR,79.5,215,85.0,28.5,10,10,11,8,16,15,7,15,8,10,8,10,5,6,139,10,2,PF,0.662563285881715,-0.383917207295791,0.278646078585924,1.19683749856482,-0.422511447972078,0.77432605059274
Brian Foley,203523,505,2044,203523,2044,SF ,RS SO,79.0,230,79.0,33.0,5,13,9,12,9,9,10,10,10,10,8,10,8,13,136,12,2,SF,-0.326195493691175,0.871447158870441,0.545251665179266,-0.451423386983189,1.22452660043802,0.773103213454829
Jerry Griffiths,209111,902,2046,209111,2046,PF sf c ,SR,76.5,230,77.0,30.0,12,11,8,15,12,5,8,8,8,7,13,5,4,9,125,9,1,PF,1.67512360789853,-1.67270821087701,0.00241539702151972,2.88477555536685,-2.11340524467064,0.771370310696212
Billy Brower,206065,328,2046,206065,2046,SF ,SR,74.0,195,74.0,30.5,7,3,10,11,5,4,11,10,5,6,12,2,10,7,103,10,1,SF,1.13150467703946,-0.982281681661231,0.149222995378234,1.97856279762479,-1.20756563833953,0.770997159285253
Tyler Rush,198481,246,2045,198481,2045,SG pg ,RS SR,73.0,180,74.0,28.0,8,12,14,11,10,10,10,10,14,6,12,10,16,12,155,11,2,SG,-0.231657079374015,0.749299890085944,0.517642810711929,-0.293827850316483,1.06426938379276,0.770441533476275
Damien Moore,192753,541,2044,192753,2044,PF C ,RS SR,81.0,225,82.25,29.5,18,13,10,10,16,13,8,8,7,11,13,15,6,15,163,12,2,PF,-0.433544891728762,1.00577016944711,0.572225277718344,-0.630374833511846,1.4007583903146,0.770383556802757
Deandre Hiller,197356,578,2044,197356,2044,C pf ,SR,80.5,215,80.25,33.5,7,12,7,11,15,7,8,10,10,7,5,12,9,6,126,10,2,C,0.275768673618248,0.103960400486791,0.379729074105039,0.552050879921619,0.21758397343867,0.769634853360289
Miguel Mendez,207669,913,2044,207669,2044,C sg pf ,SO,85.0,240,89.25,29.5,7,10,3,4,6,10,4,14,3,4,9,11,11,8,104,10,1,C,-0.961735961833447,1.67574228378541,0.714006321951962,-1.51086934737636,2.27976180432646,0.7688924569501
Pete Woody,200492,333,2044,200492,2044,SG ,SR,73.0,210,77.25,26.5,4,5,3,7,7,5,10,9,10,2,5,5,11,6,89,7,0,SG,-0.13575446496531,0.626176876861965,0.490422411896655,-0.133958192097172,0.902731990442899,0.768773798345727
Alex Lofton,196912,986,2045,196912,2045,SG pg ,RS SR,76.0,215,76.0,30.0,4,13,17,8,7,13,11,13,14,15,10,12,15,14,166,12,3,SG,-0.469240350173286,1.04989161650952,0.580651266336233,-0.689879162738869,1.45864572886049,0.768766566121621
Mel Chambers,204277,831,2045,204277,2045,PG sg ,RS JR,73.0,205,79.0,27.0,3,13,7,7,7,7,14,13,12,15,9,11,9,13,140,11,2,PG,-0.918567608059713,1.62032351986576,0.701755911806047,-1.43890770163554,2.20705238606388,0.768144684428335
Greyson Roberts,210571,666,2046,210571,2046,PG SG ,JR,73.0,175,74.0,28.5,8,11,6,14,8,4,13,16,13,5,12,7,12,7,136,11,2,PG,0.832871294731022,-0.605438087366594,0.227433207364428,1.48074094931661,-0.713146842624972,0.767594106691642
Blair Stokes,214234,304,2046,214234,2046,SF pf c ,JR,78.5,210,82.0,32.0,10,12,14,10,12,6,7,9,8,4,10,4,7,10,123,11,2,SF,2.02435521837591,-2.11933485243791,-0.0949796340619988,3.46694465003265,-2.69937939839854,0.767565251634107
Elvis Rayford,206091,219,2046,206091,2046,SF PF c ,SR,78.0,210,83.0,32.0,8,13,10,10,7,5,12,13,12,7,11,13,10,11,142,11,2,SF,0.114642071866239,0.307047126803091,0.42168919866933,0.28345283480102,0.484033758365655,0.767486593166675
Rodney Armstrong,208133,171,2045,208133,2045,C pf ,RS SO,81.5,235,85.0,35.0,18,10,11,6,15,16,9,12,13,7,9,12,9,14,161,12,3,C,0.00769829245184095,0.44274653564934,0.450444828101181,0.105177554517219,0.662071382771934,0.767248937289153
Huojin Tang,222706,599,2045,222706,2045,SF pf c ,RS SO,76.5,200,78.0,30.5,5,11,13,6,9,7,12,16,5,9,4,9,14,6,126,12,2,SF,0.934669742996466,-0.735367398020743,0.199302344975724,1.65043896257511,-0.883614098203215,0.766824864371895
Alex Amaro,214699,40,2046,214699,2046,C pf ,JR,83.0,265,90.0,31.5,18,13,11,6,17,8,5,15,12,5,11,13,8,7,149,11,3,C,0.220751438824326,0.170924495753216,0.391675934577541,0.460337149520151,0.305440866428219,0.76577801594837
Sam Hatch,200435,819,2044,200435,2044,C PF ,RS JR,80.0,210,79.0,28.5,7,7,11,7,12,9,5,10,10,9,9,7,12,7,122,11,2,C,-1.02170381452691,1.74651529837947,0.724811483852563,-1.61083575781635,2.37261599947386,0.761780241657511
Tommy Fabbri,209500,851,2044,209500,2044,SF pf ,SO,77.0,190,80.0,32.0,8,11,8,9,10,7,7,18,6,9,13,10,15,7,138,11,3,SF,-1.18506578661866,1.95398926050051,0.768923473881848,-1.88316016529331,2.64482183777667,0.76166167248336
Ron Rasmussen,201316,815,2045,201316,2045,SG sf pf c ,RS JR,76.0,210,81.0,26.5,13,10,13,14,8,9,11,9,7,9,6,10,17,12,148,11,3,SG,-0.930911083981908,1.63035791025558,0.699446826273667,-1.45948427599784,2.22021750625532,0.760733230257474
Clayton Starkey,203320,616,2045,203320,2045,PG SG sf ,SR,72.5,165,76.0,32.5,7,16,8,5,11,7,10,16,15,8,7,13,16,14,153,10,2,PG,0.572972065109685,-0.280669291270255,0.29230277383943,1.04748893353784,-0.287050182146574,0.76043875139127
Demar Morris,209719,394,2045,209719,2045,SF pg ,RS SO,72.5,190,72.0,30.5,6,16,6,8,5,7,13,9,14,11,8,14,11,10,138,11,2,SF,-0.596876610004689,1.20461809905331,0.607741489048626,-0.902648807877817,1.66164687395795,0.758998066080133
Jeff Silvestri,213206,463,2046,213206,2046,C PF ,JR,83.0,240,85.0,25.5,11,8,9,13,14,7,8,15,8,10,7,7,13,6,136,10,2,C,2.05976999443517,-2.17112377489063,-0.111353780455455,3.52598108172343,-2.7673264646565,0.758654617066929
Kendall Krause,208689,585,2044,208689,2044,SG PG sf ,SO,74.5,180,80.0,31.0,5,8,7,11,5,5,12,17,11,7,4,5,15,9,121,9,1,SG,0.243746845603631,0.134077126002078,0.37782397160571,0.498670492621253,0.257097117314727,0.75576760993598
Howard Krieger,192400,93,2044,192400,2044,SG PG sf ,RS SR,72.0,155,78.0,34.5,9,17,19,5,6,10,15,6,12,12,14,15,15,8,163,11,3,SG,0.547856070850687,-0.253975836132979,0.293880234717708,1.00562057110809,-0.252028369006469,0.753592202101626
Charles Boykin,217955,143,2046,217955,2046,PF C sf ,SO,78.5,205,82.25,28.5,12,13,13,6,14,6,6,10,6,4,10,4,8,13,125,11,3,PF,-0.415093951685646,0.96902095554201,0.553927003856364,-0.599617116459972,1.35254342167112,0.752926305211145
Matt Hartman,196998,567,2045,196998,2045,PF C sf ,RS SR,79.0,230,83.0,28.5,13,6,10,8,15,12,13,7,11,8,13,6,8,7,137,11,2,PF,-1.03342699300322,1.75283538483196,0.719408391828746,-1.63037829633636,2.38090795289954,0.750529656563173
Zane Cramer,199251,308,2045,199251,2045,SG sf ,RS SR,74.5,200,81.25,29.0,7,15,15,14,6,4,16,14,8,8,14,14,16,15,166,11,3,SG,1.36785495918731,-1.29850026631661,0.0693546928707029,2.37255871796525,-1.62244442140739,0.750114296557857
Ralph Lees ,209511,902,2046,209511,2046,SF SG pf ,SR,74.0,200,74.0,31.5,4,11,8,7,6,9,8,11,8,8,7,5,15,9,116,10,2,SF,0.875123607898531,-0.672708210877011,0.20241539702152,1.55117555536685,-0.801405244670639,0.749770310696212
Kevin Hook,201748,684,2044,201748,2044,SG PG sf ,RS SO,74.5,195,78.25,31.0,7,16,8,17,5,8,16,8,17,10,9,14,10,16,161,11,3,SG,1.8425372027923,-1.90195151498165,-0.0594143121893447,3.16385401805477,-2.41417245965592,0.749681558398847
Rudy Wilson,211604,68,2046,211604,2046,SF pg pf ,JR,77.5,180,81.0,34.0,12,7,9,9,11,6,10,12,13,11,13,11,17,12,153,12,3,SF,0.0120538865006203,0.42312071307592,0.43517459957654,0.112438329796534,0.636322303555607,0.748760633352141
Thad Perkins,202447,533,2046,202447,2046,PG SG sf ,RS SR,73.0,165,76.0,32.0,5,16,17,17,9,3,13,14,15,10,17,10,10,12,168,12,3,PG,1.42126026739895,-1.36744428485863,0.0538159825403177,2.46158536675405,-1.71289897373452,0.748686393019524
Wyatt Monti,218442,552,2046,218442,2046,SF PG pf c ,SO,80.0,220,81.25,29.0,12,14,13,5,14,8,10,11,14,12,13,10,14,9,159,13,5,SF,-0.685740175978077,1.30945829957261,0.623718123594535,-1.05078437235545,1.79919721703927,0.748412844683813
Chet Parkinson,197928,66,2044,197928,2044,C ,RS JR,83.0,255,90.0,31.0,16,5,14,7,4,14,4,11,11,10,5,5,9,6,121,10,2,C,0.325049319527714,0.024754547558852,0.349803867086566,0.634201716652699,0.113665894397214,0.747867611049912
Dave Coughlin,198235,469,2044,198235,2044,PG SG sf ,SR,75.5,195,80.0,29.5,8,12,7,14,4,6,13,8,12,15,5,9,13,15,141,11,2,PG,0.386863388500207,-0.0542102074927344,0.332653181007472,0.737245769629844,0.0100641357695324,0.747309905399377
Quinn Green +4,213497,192,2046,213497,2046,PF SF ,RS SO,80.0,240,80.0,31.0,11,7,12,12,9,13,13,17,5,8,7,4,10,14,142,12,3,PF,-0.397435919534994,0.942179906116528,0.544743986581533,-0.570181176864836,1.31732796482488,0.747146787960049
Theo Mellberg,223970,683,2046,223970,2046,C PF ,JR,79.5,240,82.0,30.0,6,9,8,5,11,4,10,8,5,9,8,9,14,9,115,11,2,C,-0.872705941954938,1.5460074213797,0.673301479424761,-1.36245630423888,2.10954966485017,0.747093360611284
Charlie Alexander,197993,810,2044,197993,2044,PG sg sf ,SR,74.0,180,81.0,31.5,6,7,11,8,9,5,14,17,12,13,15,6,12,16,151,10,2,PG,-0.683879999112486,1.30509262908086,0.621212629968377,-1.04768345752051,1.79346945735409,0.745785999833579
Guy Golan,206298,50,2044,206298,2044,SF sg ,RS SR,78.0,220,81.25,34.0,5,15,11,11,9,8,11,11,7,5,13,16,16,11,149,13,3,SF,-0.975564737441543,1.67564123463627,0.700076497194723,-1.53392191631505,2.27962922784278,0.745707311527728
K.J. McCarty,208665,936,2044,208665,2044,C PF ,RS FR,80.5,230,82.0,28.5,10,5,8,6,14,11,5,17,8,8,10,5,4,12,123,11,2,C,1.26300090985255,-1.16928319392131,0.0937177159312426,2.19776701772421,-1.45291162242476,0.744855395299448
Aníbal Barrientos,211191,43,2046,211191,2046,C ,JR,82.0,215,89.0,30.5,16,6,9,4,12,9,10,11,7,5,7,13,13,10,132,9,2,C,0.441454231674942,-0.125891550677301,0.31556268099764,0.828248705202128,-0.0839817864886193,0.744266918713509
Arnie Lynch,201739,153,2045,201739,2045,C pf ,SR,79.5,225,83.0,32.5,11,9,11,13,11,11,8,18,10,5,9,11,12,14,153,12,3,C,-0.719997957188908,1.34970146329068,0.629703506101773,-1.10789209363391,1.85199624783737,0.744104154203464
Kevin Barbieri,205679,850,2046,205679,2046,PF c ,RS SR,82.5,225,84.25,30.0,15,7,13,8,6,10,10,15,6,10,10,8,12,12,142,10,2,PF,-0.28710681422576,0.799360786810935,0.512253972585174,-0.386262558314343,1.12994928029595,0.743686721981604
Brooks Kunz,202886,888,2044,202886,2044,C pf ,JR,83.0,260,89.0,24.0,10,8,6,4,9,7,10,19,7,10,6,7,3,10,116,10,2,C,-0.701908961851301,1.32517740040837,0.623268438557072,-1.07773773840612,1.81982067733579,0.742082938929667
Salomón Ortega,214549,467,2045,214549,2045,C ,SO,82.5,215,83.0,33.0,12,7,13,4,11,7,6,11,7,4,10,7,11,11,121,11,2,C,1.41079269815667,-1.35948928614445,0.0513034120122273,2.44413592882717,-1.70246201542151,0.741673913405661
Tucker Ricci,209845,550,2046,209845,2046,PG SF sg ,RS JR,75.0,205,79.25,31.5,10,16,11,13,8,12,6,6,15,10,17,6,10,12,152,11,2,PG,0.455077480314946,-0.145628900401035,0.309448579913911,0.850958660685015,-0.109877189326158,0.741081471358857
Art Wicks,215012,26,2045,215012,2045,SF PF pg ,FR,73.5,185,79.25,25.5,9,12,8,5,7,10,9,17,8,9,6,9,13,13,135,11,3,SF,0.842666412042301,-0.638404260615206,0.204262151427094,1.49706940987451,-0.756398461927151,0.740670947947364
Louis Garner,204468,513,2045,204468,2045,SF sg pf c ,RS JR,78.0,215,81.0,27.0,13,8,12,7,10,9,16,13,6,15,6,8,14,15,152,12,4,SG,-2.12693110979583,3.13458209179639,1.00765098200056,-3.45324965902965,4.19375963243687,0.740509973407214
Dane Beattie,207637,151,2045,207637,2045,SF pf ,RS SO,78.0,210,78.25,31.5,4,14,11,11,14,9,6,13,7,10,8,14,8,11,140,12,2,SF,-0.234352121068847,0.729238851061819,0.494886729992972,-0.298320484821767,1.03794930059311,0.739628815771339
Jayden Canepa,204883,743,2046,204883,2046,PF sf ,RS SR,76.0,205,81.0,33.5,7,9,15,8,12,4,11,15,11,13,12,6,4,5,132,10,2,PF,0.453596812144229,-0.145451874100474,0.308144938043755,0.84849038684443,-0.109644930819822,0.738845456024608
Marcus Coleman,206491,259,2046,206491,2046,SG SF ,RS JR,75.5,220,78.0,36.5,11,17,9,6,5,9,16,7,15,9,17,8,7,7,143,11,2,SG,1.51178098436164,-1.49123990517801,0.0205410791836256,2.61248340193085,-1.87531882759355,0.737164574337299
Marvin Rinaldi,197432,869,2044,197432,2044,SG SF ,RS JR,75.0,205,79.0,25.5,5,14,11,7,11,11,15,10,8,8,13,13,14,13,153,12,3,SG,-0.332853629030997,0.851881414730723,0.519027785699727,-0.462522498594671,1.19885634412671,0.736333845532037
Mack Monahan,201267,274,2044,201267,2044,PF c ,RS SO,78.0,205,84.0,25.0,7,12,12,6,12,14,11,11,10,4,6,14,7,10,136,12,3,PF,0.41103839060852,-0.0936428912547775,0.317395499353742,0.777545498144403,-0.0416715453262681,0.735873952818134
Sean Francis,203045,197,2046,203045,2046,PG sg ,RS SR,73.0,175,78.0,27.5,11,16,14,7,8,7,16,14,13,14,11,7,16,7,161,12,3,PG,-0.667685043539976,1.27617389828465,0.60848885474467,-1.02068646658114,1.75552808254946,0.734841615968316
Lenny Wetzel ,201445,997,2045,201445,2045,PG SF sg ,SR,76.0,195,80.0,36.0,8,15,7,11,6,9,10,16,16,13,10,13,12,8,154,10,2,PG,0.166007296640208,0.216531711453678,0.382539008093887,0.369078664499227,0.365277533427226,0.734356197926454
Herb Ward,206651,778,2045,206651,2045,C PF sg ,JR,78.5,225,84.0,34.0,13,7,10,12,8,9,8,12,5,6,9,7,11,12,129,12,2,C,-0.0540969124820894,0.495743504194607,0.441646591712518,0.00216494789235705,0.731603405503324,0.733768353395681
Johnny Shea,209183,382,2046,209183,2046,SG SF pg ,SR,69.0,150,72.0,30.5,6,8,14,12,5,8,11,6,7,14,7,4,13,9,124,10,2,SG,-0.380351154885656,0.909379817967985,0.52902866308233,-0.541700874194388,1.274294249174,0.732593374979609
Ryan Hardy,198275,207,2044,198275,2044,PF sf ,RS JR,77.5,215,82.25,32.0,9,12,9,10,7,12,11,14,11,9,12,14,6,7,143,12,2,PF,0.330297859272282,0.00617363429814188,0.336471493570424,0.642951032406894,0.0892877361991622,0.732238768606056
Jeremy Sorensen,207685,933,2045,207685,2045,PG SG ,JR,71.0,195,72.0,39.0,8,8,13,13,7,3,12,13,14,6,13,6,19,9,144,11,2,PG,0.113158426834073,0.281974220098037,0.39513264693211,0.2809795985324,0.451138104768624,0.732117703301024
Alan Vaughn,203256,550,2045,203256,2045,PG SG ,SR,74.0,200,77.0,29.0,3,6,8,11,5,8,7,14,11,14,13,5,15,10,130,11,2,PG,-0.46036576453733,1.00946008050244,0.549094315965112,-0.675085228483729,1.4055995536192,0.730514325135475
Toby Sharp,210094,115,2044,210094,2044,C pf ,RS SR,82.0,255,85.0,30.0,13,10,11,6,11,12,6,14,10,8,8,12,11,11,143,12,3,C,-0.397828670201859,0.929595472155912,0.531766801954052,-0.5708358922265,1.30081718746856,0.729981295242057
Geoffrey Cooper,207545,92,2044,207545,2044,SG PG sf ,SO,73.0,180,77.25,28.0,6,16,11,8,10,6,10,16,11,10,14,14,16,14,162,12,4,SG,1.0416734261117,-0.900465840159304,0.141207585952394,1.8288141023282,-1.10022325428901,0.728590848039193
Tom Hubbard,201717,741,2044,201717,2044,PG sg pf ,JR,76.5,220,80.0,40.0,5,6,10,9,12,8,9,17,12,17,16,5,11,5,142,11,2,PG,0.666138012462366,-0.424539557245418,0.241598455216947,1.20279656777476,-0.475807971105989,0.726988596668775
Lee Rice,206813,992,2046,206813,2046,SF sg ,SR,73.0,155,73.0,26.5,5,15,15,11,8,5,13,14,11,5,16,10,7,9,144,11,2,SF,0.157395507944078,0.221340968300375,0.378736476244452,0.354722812742777,0.371587278410092,0.726310091152869
Roberto Sotelo,208861,514,2046,208861,2046,C pf ,SR,84.0,245,89.0,31.5,0,4,4,2,9,2,7,0,4,1,8,7,4,1,53,3,0,C,1.40424072904499,-1.36415462535783,0.0400861036871669,2.433213796318,-1.70858294046947,0.724630855848536
Tim Emerson,193351,123,2044,193351,2044,PF C ,RS SR,81.0,205,83.0,42.5,14,15,13,9,8,15,8,19,12,8,8,16,6,13,164,11,2,PF,0.813132604613281,-0.613579682744811,0.199552921868469,1.44783655289034,-0.723828615761193,0.724007937129146
J.C. Rowe,198777,272,2044,198777,2044,C ,SR,80.0,225,84.0,29.0,15,13,11,6,13,4,4,11,5,11,9,16,11,7,136,11,2,C,1.86583023478769,-1.95151306031647,-0.0856828255287732,3.20268350239109,-2.47919720713521,0.723486295255881
Rodney Erwin,202742,961,2044,202742,2044,PF C sg ,JR,73.5,200,76.25,30.5,6,8,14,8,12,9,7,14,12,7,8,8,12,14,139,11,3,PF,0.512036657256557,-0.231901062648069,0.280135594608488,0.94590960864668,-0.223066266194266,0.722843342452414
Huojin Tang,222706,599,2046,222706,2046,SF pf c ,RS JR,76.5,200,78.0,30.5,5,12,14,7,11,8,13,16,6,10,5,10,14,6,137,12,2,SF,0.305247518143291,0.0285477083612256,0.333795226504516,0.601192113744865,0.118642521369928,0.719834635114793
Rodney Bush ,206264,77,2044,206264,2044,SG pg ,SO,69.0,175,70.25,29.0,7,12,12,8,3,5,10,15,8,8,8,9,14,5,124,10,2,SG,1.59416457862401,-1.60916291563795,-0.0149983370139375,2.74981685356623,-2.03003381731699,0.719783036249238
Richard Marshall,201050,185,2045,201050,2045,PG SF pf ,RS SR,75.0,200,81.0,31.5,6,13,13,15,12,9,10,9,12,16,12,13,12,10,162,11,3,PG,0.451080823181252,-0.157834060940854,0.293246762240398,0.844296233243147,-0.1258903599544,0.718405873288747
Phil Hammons,195111,456,2044,195111,2044,SF sg ,RS SR,77.0,205,81.25,33.0,13,12,18,10,11,8,13,18,8,14,14,12,13,8,172,12,3,SF,0.316426212353383,0.0121787507412907,0.328604963094674,0.61982699699309,0.0971664489725734,0.716993445965663
Russel Dunn,203765,617,2045,203765,2045,PF C sf ,SR,78.0,235,81.0,29.0,6,10,12,9,14,10,9,9,5,10,11,11,8,9,133,10,1,PF,-0.455483915214687,0.992363758984031,0.536879843769345,-0.666947185662883,1.38316917978705,0.716221994124166
Samuel Green,205097,693,2045,205097,2045,PF sf ,RS JR,78.0,235,81.25,30.0,12,9,8,9,12,14,9,10,6,13,14,10,14,8,148,11,2,PF,0.773882911850897,-0.570032340786425,0.203850571064471,1.38240731505544,-0.66669450311179,0.715712811943654
Stewart Emerson,205668,45,2044,205668,2044,C pf ,JR,85.0,235,89.0,32.0,11,4,10,3,10,9,6,5,5,8,7,4,5,11,98,9,1,C,1.24894306048837,-1.17368745975575,0.0752556007326184,2.17433258283412,-1.45869001919955,0.715642563634568
Ed Nash,204981,69,2045,204981,2045,SF pg sg ,RS JR,74.5,205,79.0,29.5,8,14,6,5,10,8,15,10,9,13,14,13,14,11,150,11,3,SF,-0.806112009390472,1.43741919142988,0.63130718203941,-1.25144421865392,1.96708190715601,0.715637688502089
Alejandro Ochoa,207463,259,2046,207463,2046,PF C ,RS JR,79.5,260,87.0,25.5,17,14,10,14,16,8,13,7,7,5,12,9,6,16,154,11,3,PF,0.71178098436164,-0.491239905178014,0.220541079183626,1.27888340193085,-0.563318827593555,0.715564574337299
Derek Peoples,192662,411,2044,192662,2044,SG PG ,RS SR,69.5,180,70.0,30.5,9,12,16,18,5,9,11,13,15,14,10,11,19,12,174,12,3,SG,0.539469144953981,-0.272475876386597,0.266993268567384,0.991639565638286,-0.276300421819216,0.71533914381907
Kelvin Cook,200133,989,2044,200133,2044,C ,RS JR,83.0,255,90.0,41.5,10,8,7,5,16,16,8,12,12,6,4,8,6,11,129,10,1,C,-0.0694894986769757,0.501216375504806,0.43172687682783,-0.0234944932945186,0.738783812662305,0.715289319367787
Adrian Olivares,196708,445,2044,196708,2044,PF c ,RS JR,79.0,205,84.0,29.0,14,16,13,5,14,7,4,18,7,11,12,19,10,13,163,11,3,PF,1.07279141645201,-0.950412979097418,0.122378437354593,1.8806877922255,-1.16575390057581,0.714933891649689
Sidney Hall,205524,589,2045,205524,2045,PG sg pf ,RS JR,74.0,185,77.0,30.0,11,8,9,7,10,4,8,15,14,10,8,7,9,9,129,9,1,PG,0.00605175822772352,0.404743730999328,0.410795489227051,0.102432781965615,0.612211703071118,0.714644485036733
Bernie Brownlee,203286,294,2045,203286,2045,PF C sg ,SR,78.5,240,85.0,27.5,6,10,10,8,10,8,5,9,5,10,8,11,11,8,119,9,1,PF,-1.68584909580796,2.55442225928607,0.868573163478108,-2.71796594171186,3.43258993218332,0.714623990471453
Larry White,207045,268,2044,207045,2044,PG SF sg ,SO,74.0,190,77.0,31.0,8,8,14,10,9,8,14,17,14,9,14,7,12,10,154,12,4,PG,-1.43751183367716,2.23844457764519,0.800932743968023,-2.30398772573983,3.01802721387049,0.714039488130653
Rex Shepherd,205604,925,2044,205604,2044,SG ,JR,73.5,185,79.25,29.5,3,11,13,8,4,7,12,16,7,4,15,9,14,7,130,11,2,SG,-0.282030815015324,0.769196830870484,0.48716601585516,-0.377800867630545,1.09037417010208,0.71257330247153
Troy Adams,208046,574,2046,208046,2046,PG SF ,SR,77.0,200,79.0,33.5,4,13,16,13,5,7,13,13,13,14,7,7,8,6,139,11,2,PG,-1.51129492224614,2.33018576824898,0.818890846002841,-2.42698413438431,3.13839165594266,0.711407521558349
Hugh Cushman,205797,18,2045,205797,2045,PG SG ,JR,72.0,195,79.0,31.0,8,17,9,7,8,5,12,9,12,11,8,13,17,10,146,10,2,PG,0.687887371255893,-0.464093260198312,0.223794111057582,1.23905274888357,-0.527702429380185,0.71135031950339
Nicholas Schwarz +5,198704,829,2044,198704,2044,PF C ,SR,83.0,230,87.0,32.0,13,14,13,10,12,7,12,14,12,12,11,16,8,13,167,13,5,PF,0.549083957268905,-0.288164453282663,0.260919503986242,1.00766745776726,-0.296883834706854,0.71078362306041
Ryan Beals,200450,565,2044,200450,2044,C pf ,SR,79.5,205,86.25,29.0,11,8,16,10,15,15,6,14,6,11,7,9,14,12,154,12,3,C,0.437462831792451,-0.14740250798994,0.290060323802511,0.821595041598016,-0.112204162482801,0.709390879115215
Jeremy Schmidt,197313,738,2044,197313,2044,PG SG ,SR,71.0,185,74.0,31.5,5,14,5,18,9,7,13,6,16,7,14,12,16,10,152,11,2,PG,0.690960379266353,-0.469678801001357,0.221281578264996,1.24417545323701,-0.53503065891378,0.70914479432323
Randall Rizzi,213126,704,2044,213126,2044,SF PG sg ,FR,71.0,165,77.0,28.0,4,14,12,11,3,6,9,4,10,7,9,10,8,8,115,11,2,SF,-0.414671946312587,0.935008370131438,0.520336423818852,-0.598913633503082,1.30791890961245,0.709005276109365
Lee Loomis,211956,767,2046,211956,2046,C PF ,JR,80.0,225,85.0,29.5,13,7,7,5,14,6,5,8,9,10,4,14,4,10,116,10,1,C,0.827478947019227,-0.643416827546488,0.184062119472739,1.47175190568105,-0.762974949740993,0.708776955940059
Logan Yeager,203019,836,2044,203019,2044,PG SF sg ,RS SO,76.5,180,79.0,27.0,12,16,17,14,3,9,13,10,11,11,9,14,15,11,165,12,3,PG,-1.78710275350707,2.67824501435338,0.891142260846311,-2.88675578909628,3.59504538683163,0.708289597735352
Bo Liu,216178,667,2046,216178,2046,C pf ,RS SR,79.5,185,87.0,36.0,13,8,12,9,6,8,9,16,6,6,8,14,8,12,135,12,2,C,0.719394633995471,-0.506724255466194,0.212670378529277,1.29157535587045,-0.583634295171646,0.707941060698804
Bart Lockhart,199761,995,2044,199761,2044,SG pg ,RS JR,76.5,195,80.0,30.0,6,17,14,8,10,8,13,8,10,10,10,15,13,10,152,11,2,SG,0.394636733700508,-0.0944596529232724,0.300177080777236,0.750203936078747,-0.0427431366353334,0.707460799443414
